symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-08-03 12:16:00+00:00,750.63,750.73,750.44,750.44,15024.0,206.0,750.642343
SPY,2026-08-03 12:17:00+00:00,750.38,750.43,750.35,750.43,906.0,27.0,750.387015
SPY,2026-08-03 12:18:00+00:00,750.41,750.41,750.41,750.41,151.0,19.0,750.41
SPY,2026-08-03 12:19:00+00:00,750.42,750.5,750.41,750.5,927.0,33.0,750.439904
SPY,2026-08-03 12:20:00+00:00,750.55,750.61,750.49,750.49,1452.0,32.0,750.527419
SPY,2026-08-03 12:21:00+00:00,750.63,750.69,750.63,750.689,1360.0,37.0,750.652998
SPY,2026-08-03 12:22:00+00:00,750.64,750.67,750.5,750.52,1989.0,44.0,750.613293
SPY,2026-08-03 12:23:00+00:00,750.38,750.46,750.3,750.3,3690.0,65.0,750.382294
SPY,2026-08-03 12:24:00+00:00,750.28,750.33,750.28,750.3,723.0,32.0,750.308434
SPY,2026-08-03 12:25:00+00:00,750.38,750.47,750.38,750.4,3186.0,53.0,750.446895
SPY,2026-08-03 12:26:00+00:00,750.51,750.51,750.45,750.48,3707.0,40.0,750.459109
SPY,2026-08-03 12:27:00+00:00,750.32,750.5,750.25,750.5,2765.0,54.0,750.296964
SPY,2026-08-03 12:28:00+00:00,750.52,750.68,750.52,750.68,1902.0,52.0,750.613448
SPY,2026-08-03 12:29:00+00:00,750.69,750.72,750.69,750.71,9670.0,68.0,750.702736
SPY,2026-08-03 12:30:00+00:00,750.7,750.825,750.69,750.77,47426.0,212.0,750.730496
SPY,2026-08-03 12:31:00+00:00,750.7641,750.83,750.7641,750.8102,1254.0,21.0,750.816263
SPY,2026-08-03 12:32:00+00:00,750.85,750.88,750.8085,750.8085,1433.0,35.0,750.855917
SPY,2026-08-03 12:33:00+00:00,750.75,750.85,750.75,750.82,2446.0,41.0,750.808742
SPY,2026-08-03 12:34:00+00:00,750.76,750.89,750.76,750.89,1194.0,55.0,750.793685
SPY,2026-08-03 12:35:00+00:00,750.9328,750.99,750.8,750.8,26830.0,158.0,750.901365
SPY,2026-08-03 12:36:00+00:00,750.84,750.86,750.77,750.855,3380.0,61.0,750.820209
SPY,2026-08-03 12:37:00+00:00,750.88,750.88,750.82,750.84,1016.0,26.0,750.830048
SPY,2026-08-03 12:38:00+00:00,750.85,750.9,750.85,750.8782,711.0,54.0,750.885142
SPY,2026-08-03 12:39:00+00:00,750.92,751.05,750.92,750.99,13570.0,89.0,750.997611
SPY,2026-08-03 12:40:00+00:00,751.02,751.09,750.95,751.05,39151.0,122.0,750.99474
SPY,2026-08-03 12:41:00+00:00,751.0,751.14,750.99,751.14,2388.0,44.0,751.056723
SPY,2026-08-03 12:42:00+00:00,751.15,751.15,751.07,751.07,1765.0,45.0,751.128672
SPY,2026-08-03 12:43:00+00:00,751.1,751.28,751.07,751.23,17466.0,114.0,751.207229
SPY,2026-08-03 12:44:00+00:00,751.25,751.38,751.25,751.36,3962.0,89.0,751.311363
SPY,2026-08-03 12:45:00+00:00,751.37,751.45,751.35,751.36,4351.0,89.0,751.397233
SPY,2026-08-03 12:46:00+00:00,751.34,751.43,751.34,751.35,7388.0,89.0,751.377284
SPY,2026-08-03 12:47:00+00:00,751.31,751.31,751.23,751.25,1410.0,54.0,751.263951
SPY,2026-08-03 12:48:00+00:00,751.3005,751.3005,751.24,751.24,7208.0,88.0,751.287453
SPY,2026-08-03 12:49:00+00:00,751.26,751.29,751.2,751.2,13894.0,76.0,751.255535
SPY,2026-08-03 12:50:00+00:00,751.2,751.21,751.06,751.1299,21203.0,155.0,751.141747
SPY,2026-08-03 12:51:00+00:00,751.09,751.31,751.06,751.27,9741.0,112.0,751.121463
SPY,2026-08-03 12:52:00+00:00,751.25,751.25,751.2,751.22,549.0,27.0,751.21724
SPY,2026-08-03 12:53:00+00:00,751.2,751.31,751.14,751.31,2253.0,57.0,751.228675
